ax,ay,az,gx,gy,gz
0.63,-0.87,9.64,0.01,-0.02,-0.01
0.52,-0.96,9.57,0.01,-0.02,0.00
0.52,-0.85,9.57,-0.01,-0.02,-0.01
0.64,-0.85,9.62,-0.01,-0.02,0.01
0.70,-1.02,9.62,-0.02,-0.02,0.01
0.57,-1.19,9.64,-0.01,-0.02,0.01
0.49,-1.23,9.63,0.00,-0.02,0.00
0.54,-1.18,9.68,0.02,-0.02,0.00
0.68,-1.05,9.49,0.02,-0.02,0.00
0.73,-1.13,9.55,0.01,-0.02,-0.00
0.58,-0.86,9.57,-0.00,-0.02,-0.00
0.47,-1.02,9.69,-0.01,-0.02,0.01
0.63,-0.99,9.59,-0.01,-0.02,0.00
0.67,-1.07,9.59,0.00,-0.01,0.00
0.64,-0.88,9.68,0.01,-0.02,0.00
0.48,-1.20,9.67,-0.00,-0.01,0.01
0.54,-0.99,9.61,-0.01,-0.01,0.00
0.64,-1.04,9.66,-0.01,-0.02,0.01
0.69,-1.21,9.60,-0.00,-0.01,0.00
0.57,-1.24,9.51,0.01,-0.01,-0.00
0.51,-1.15,9.61,0.01,-0.01,-0.00
0.52,-1.04,9.57,0.01,-0.01,0.00
0.62,-1.18,9.68,0.00,-0.01,-0.00
0.69,-0.94,9.73,-0.00,-0.01,-0.01
0.62,-0.97,9.69,-0.00,-0.01,-0.00
0.47,-0.96,9.72,-0.01,-0.01,-0.00
0.55,-0.90,9.59,-0.02,-0.01,0.00
